theoretical_quantile,sample_quantile,reference_line
-1.2908802443387897,-0.01523556547004159,-0.01630804222733196
-1.2891614078673819,-0.015230384416434227,-0.016286325684222794
-1.287446371676383,-0.015131186808990293,-0.016264657155543562
-1.2857351139759896,-0.01507927607419148,-0.01624303636599221
-1.2840276131643145,-0.015003938704924242,-0.016221463042640917
-1.2823238478251988,-0.014987738702301035,-0.01619993691490841
-1.2806237967260605,-0.014981527316771603,-0.01617845771453283
-1.2789274388157708,-0.014939833051720001,-0.016157025175544862
-1.2772347532225647,-0.014925167751729787,-0.01613563903424137
-1.2755457192519768,-0.014893802910311267,-0.01611429902915928
-1.2738603163848135,-0.014859119734128831,-0.016093004901049996
-1.2721785242751487,-0.014830944592865965,-0.01607175639285405
-1.27050032274835,-0.014810935590693412,-0.016050553249676188
-1.268825691799135,-0.014745194776803276,-0.016029395218760782
-1.2671546115896528,-0.014722745569302668,-0.016008282049467616
-1.265487062447593,-0.014695522180060603,-0.01598721349324799
-1.2638230248643247,-0.014669483950734724,-0.0159661893036212
-1.2621624794930555,-0.014636609750331276,-0.015945209236151277
-1.2605054071470227,-0.0145676445645497,-0.01592427304842415
-1.258851788797707,-0.014545217015918948,-0.01590338050002505
-1.2572016055730735,-0.01450698813608971,-0.01588253135251631
-1.2555548387558297,-0.014505749722761856,-0.015861725369415353
-1.2539114697817186,-0.014503712591358986,-0.01584096231617311
-1.2522714802378285,-0.014458175209289326,-0.015820241960152675
-1.2506348518609296,-0.01443987703159345,-0.0157995640706083
-1.2490015665358274,-0.014424043579387525,-0.015778928418664573
-1.2473716062937497,-0.014355397685520247,-0.01575833477729605
-1.2457449533107439,-0.014319674833510354,-0.015737782921306998
-1.2441215899061047,-0.014281497904715116,-0.015717272627311537
-1.2425014985408185,-0.014273871846379965,-0.015696803673713986
-1.240884661816033,-0.014211159847902905,-0.015676375840689514
-1.239271062471543,-0.014175853372844216,-0.01565598891016503
-1.2376606833842998,-0.014166186763720393,-0.01563564266580033
-1.2360535075669405,-0.014158850164696353,-0.01561533689296953
-1.2344495181663357,-0.01411979390797831,-0.015595071378742716
-1.2328486984621572,-0.014103317256975188,-0.015574845911867833
-1.2312510318654675,-0.014103264053527142,-0.015554660282752882
-1.229656501917323,-0.014097778499522502,-0.015534514283448259
-1.2280650922873977,-0.014096409301795563,-0.01551440770762938
-1.2264767867726323,-0.014076200070686754,-0.015494340350579594
-1.2248915692958868,-0.014064491110372748,-0.015474312009173182
-1.2233094239046256,-0.014019820810655923,-0.015454322481858723
-1.221730334769608,-0.013952922878763489,-0.01543437156864256
-1.2201542861836068,-0.013947481708196936,-0.015414459071072617
-1.2185812625601333,-0.013911727985542171,-0.015394584792222272
-1.2170112484321867,-0.01385981652870732,-0.01537474853667457
-1.2154442284510156,-0.013850460091980514,-0.015354950110506572
-1.2138801873848966,-0.013832837873575865,-0.01533518932127392
-1.2123191101179314,-0.013821021207371914,-0.015315465977995647
-1.2107609816488538,-0.01381072739752523,-0.015295779891139094
-1.2092057870898572,-0.013805970774536096,-0.015276130872605102
-1.2076535116654352,-0.01375266953356346,-0.015256518735713364
-1.2061041407112376,-0.013740401286797219,-0.015236943295187967
-1.2045576596729375,-0.013689556489201945,-0.015217404367143085
-1.2030140541051213,-0.013659993023405856,-0.01519790176906895
-1.2014733096701824,-0.013656240591311188,-0.015178435319817872
-1.1999354121372385,-0.013621435532815484,-0.015159004839590567
-1.1984003473810527,-0.013551691831802081,-0.015139610149922522
-1.196868101380979,-0.013536888039384347,-0.015120251073670668
-1.195338660219913,-0.013533587045713046,-0.01510092743500013
-1.193812010083259,-0.01346396899349181,-0.015081639059371174
-1.192288137257908,-0.01341795292919373,-0.01506238577352629
-1.1907670281312333,-0.013413334724442873,-0.01504316740547751
-1.1892486691900923,-0.01333755060794834,-0.015023983784493792
-1.1877330470198455,-0.013251052459056053,-0.015004834741088623
-1.1862201483033843,-0.013211672414972944,-0.01498572010700774
-1.1847099598201742,-0.0132104774071375,-0.014966639715217044
-1.183202468445307,-0.01320878925806392,-0.014947593399890614
-1.1816976611485641,-0.013203732179167298,-0.014928580996398882
-1.1801955249934988,-0.013189771469957623,-0.014909602341297038
-1.1786960471365138,-0.013169510210628312,-0.014890657272313375
-1.17719921482597,-0.013169042891068489,-0.014871745628338021
-1.1757050154012911,-0.01315748241785467,-0.014852867249411632
-1.1742134362920842,-0.01315432584820984,-0.014834021976714283
-1.1727244650172735,-0.013095898869284969,-0.014815209652554525
-1.1712380891842384,-0.013061796751368895,-0.014796430120358485
-1.16975429648797,-0.013031438906747184,-0.014777683224659215
-1.1682730747102297,-0.013030738146438889,-0.014758968811086067
-1.166794411718723,-0.012950564898308582,-0.014740286726354246
-1.1653182954662824,-0.01289090761712097,-0.014721636818254486
-1.1638447139900583,-0.012839208364197021,-0.014703018935642836
-1.1623736554107205,-0.01280737499137009,-0.014684432928430564
-1.160905107931671,-0.012789021764231683,-0.014665878647574215
-1.1594390598382618,-0.012776414418238161,-0.014647355945065721
-1.1579754994970273,-0.012734603054695532,-0.014628864673922716
-1.156514415354922,-0.0127266427988286,-0.014610404688178893
-1.155055795938567,-0.012725911733686968,-0.014591975842874487
-1.1535996298535087,-0.012725142291131943,-0.014573577994046917
-1.1521459057834826,-0.01270390730293408,-0.014555210998721469
-1.150694612489688,-0.012679206878451487,-0.014536874714902144
-1.14924573881007,-0.012667760696770709,-0.01451856900156259
-1.1477992736586093,-0.012634698210989895,-0.014500293718637114
-1.1463552060246225,-0.012631917321894892,-0.014482048727011853
-1.1449135249720692,-0.012626129372360602,-0.014463833888516017
-1.1434742196388656,-0.012583387780394747,-0.014445649065913219
-1.142037279236207,-0.01255451082164601,-0.014427494122892907
-1.140602693047902,-0.012530761950343972,-0.014409368924061965
-1.1391704504297069,-0.0124302817041504,-0.014391273334936288
-1.137740540808673,-0.012411073649113442,-0.014373207221932551
-1.1363129536825012,-0.012396609013777708,-0.014355170452360044
-1.1348876786189006,-0.012377018210036502,-0.014337162894412572
-1.1334647052549593,-0.012358985154040096,-0.014319184417160506
-1.1320440232965168,-0.012305049178576867,-0.014301234890542847
-1.1306256225175453,-0.012269459613906717,-0.014283314185359426
-1.1292094927595444,-0.012255911080887135,-0.014265422173263235
-1.1277956239309317,-0.012235825916293661,-0.014247558726752743
-1.1263840060064472,-0.012229603658555934,-0.014229723719164363
