date,target,sp500_ret_l1,gold_ret_l1,oil_ret_l1,eur_usd_ret_l1,usd_chf_ret_l1,gdp_growth_l1,cpi_inflation_l1,rate_change_l1
2012-07-24,-0.0079101820459017,-0.0101635872684323,-0.004173465464296,-0.0357180826020793,-0.0041148934697911735,0.004148333970383748,0.0,0.0,0.0
2012-07-25,-0.0066932520794525,-0.0086239475825591,0.0031968710964996,0.0045351551653911,-0.00529189262074384,0.005337105463706981,0.0,0.0,0.0
2012-07-26,0.0131842113057303,0.000223972526973,0.0139075303483132,0.0018083187567836,0.005786574797539694,-0.005842079468277005,0.0,0.0,0.0
2012-07-27,0.0233947038895385,0.0163628572104798,0.0070413810326819,0.0060042209800097,0.012125332892661623,-0.012094257890944354,0.0,0.0,0.0
2012-07-30,-0.0007710695115629,0.0182650156803388,0.0048996311947385,0.0077519768043181,0.007302263685400241,-0.007286193658718157,0.0,0.0,0.0
2012-07-31,-0.0003085943551722,0.0,-0.0006984792486405,-0.0065554465987456,-0.00974824941366059,0.009737175277858464,0.0,0.0,0.0
2012-08-01,-0.0029364057881549,-0.0070190960777881,-0.005988804851457,-0.0232885165824353,0.005292094581765308,-0.005215535675988253,0.0,0.0,0.0
2012-08-02,-0.003566171699412,-0.0008717762993094,-0.0086641751123551,0.014882582967159,-0.0013000733122278533,0.001434426475462029,0.0,0.006081485973624427,-0.03
2012-08-03,0.0187726700793812,-0.0069285183994655,-0.006531532904097,-0.0173335645862991,-0.012271096387668268,0.012110258419427608,0.0,0.0,0.0
2012-08-06,0.0075930509075971,0.0196390238876974,0.0091708211850177,0.0441049433002133,0.019642833768445906,-0.019303055562358434,0.0,0.0,0.0
2012-08-07,0.0082862997670771,0.0019356926142981,0.0048100140837848,0.0102205591105182,0.002579398496060095,-0.0028916678209986954,0.0,0.0,0.0
2012-08-08,-0.0004502138591841,0.0050010820816175,-0.0001279672405611,0.0141355303335511,0.0,0.00031022181108092357,0.0,0.0,0.0
2012-08-09,0.0029976041630766,0.0012107832396872,0.0012789360996372,-0.0011464604293848,-0.004680069867241367,0.004333030611061542,0.0,0.0,0.0
2012-08-10,0.000598444063342,0.0008537887391644,0.0032539027657191,0.0017191981311809,-0.006979981264565205,0.006873584384802754,0.0,0.0,0.0
2012-08-13,0.0023902013172118,0.0016343936841272,0.0012095363858026,-0.0022929216122076,0.0016276045259734525,-0.0017395757776421216,0.0,0.0,0.0
2012-08-14,0.0004475274185231,-0.0004971414469777,-0.0075997428072515,-0.005466852919073,0.0033283303851188574,-0.00317997908635704,0.0,0.0,0.0
2012-08-15,0.002532212569272,0.0001420656345617,-0.0055284275545375,0.0074734466839416,-0.000810767029980948,0.0009242619399943524,0.0,0.0,0.0
2012-08-16,0.0118309572820898,0.0011357990856856,0.0032179201406788,0.0077022203620923,-0.0033310344810994937,0.003279363463612184,0.0,0.0,0.0
2012-08-17,0.0044007699012649,0.0073514150261448,0.0059579278709021,0.01045945931221,0.005518598651018994,-0.0056430663266296465,0.0,0.0,0.0
2012-08-20,0.0014626300691443,0.0013372279150706,0.0010214505484645,0.0109076735213518,-0.0033237434838340185,0.0033896596576369112,0.0,0.0,0.0
2012-08-21,-0.0039540214069169,7.03309069458914e-05,0.0034397129270846,-0.0033435528501934,0.0022710691892903895,-0.002258495981056675,0.0,0.0,0.0
2012-08-22,0.0041001668218647,-0.0030287045515123,0.0099339612836938,0.0041776972055244,0.010397030993683852,-0.010330670387879522,0.0,0.0,0.0
2012-08-23,-0.0082172142487394,0.0004231610190797,0.010708684856367,0.0066482239328802,0.0,-0.00020770588920868545,0.0,0.0,0.0
2012-08-24,0.0061692322573309,-0.0082130169959784,0.0083739595499836,-0.0127815021499539,0.008860564854355293,-0.00897241282691016,0.0,0.0,0.0
2012-08-27,0.0016094816555068,0.0060247550844078,0.0004940406448909,-0.0022396425935046,-0.003981530980445565,0.004078863574821028,0.0,0.0,0.0
2012-08-28,0.0,0.0002119766833585,-0.0037732392523489,-0.0019638104221223,-0.001517148053213484,0.0016685789667544848,0.0,0.0,0.0
2012-08-29,0.0,-0.0009896091851661,0.0017337465643165,0.005042027488248,0.003987564100228315,-0.0040720494795241724,0.0,0.0,0.0
2012-08-30,-0.0101389451309509,0.0007776325018074,-0.0065171071368731,-0.0115218360462951,-0.0020715488246232823,0.0020903017644512433,0.0,0.0,0.0
2012-08-31,0.0066240030235063,-0.0072340741007198,-0.0004359876746835,-0.0033975117619152,-0.0032754173481301424,0.0031272828572647855,0.0,0.0,0.0
2012-09-04,-0.0010275230261849,0.004757686943509,0.0227884468819267,0.0177095281897918,0.006460640617664924,-0.0064738661939775476,0.0,0.0,0.0
2012-09-05,-0.0010285799158259,-0.0009213651029204,0.0015819899861575,-0.0106443582045194,-0.0009545021405563684,0.0012562815722615512,0.0,0.0,0.0
2012-09-06,0.021956534531877,-0.0008512449971354,-0.0010340948030605,0.0016882390053672,0.002940126874599415,-0.0010467916793828597,0.0,0.0,0.0
2012-09-07,-0.0014392633457443,0.0200934117274877,0.0035236974491371,-0.0096045936072176,0.0018232990900792655,-0.0009430503135126265,0.0,0.0,0.0
2012-09-10,-0.0129015343187192,0.0038875439449709,0.0213010183808501,0.0182820448374492,0.013374442141837771,-0.009162298838409539,0.0,0.0,0.0
2012-09-11,-0.0016061914820564,-0.0056976251966317,-0.0068507699505376,-0.000836470144966,-7.815247551942214e-05,-0.001482266020465694,0.0,0.0,0.0
2012-09-12,0.0029475733062576,0.0027833849992418,0.0036397307403058,0.007226268243737,0.004911716107742755,-0.005418339949340969,0.0,0.0,0.0
2012-09-13,0.013430791215418,0.0033298678010452,0.0001191114288822,-0.0019404025492292,0.0027959011689334397,-0.0011725205201979195,0.0,0.0,0.0
2012-09-14,0.0088736806689868,0.015121602318812,0.0199871052299896,0.0129567629274082,0.0013950246391645131,0.002024400030771832,0.0,0.0,0.0
2012-09-17,0.0004273808740881,0.0044243342088807,0.0028562288077879,0.0089980157195608,0.017656096948083257,-0.015554081341094718,0.0,0.0,0.0
2012-09-18,0.0008542141749489,-0.0034015952249721,-0.0081823951549396,-0.0300339422470895,-0.0012943999979887493,0.001728235470122698,0.0,0.0,0.0
2012-09-19,0.0018482979598905,-0.0008181074904077,0.0077166289611443,-0.0050476831796528,-0.005654049292296925,0.002371457401133699,0.0,0.0,0.0
2012-09-20,-0.0009948128440699,0.0005454793534954,0.0001164618879788,-0.0416188633368855,0.0010721397871851946,-0.0023714574011337235,0.0,0.0,0.0
2012-09-21,-0.0025626437714568,6.816400261664909e-05,-0.0015733810535788,0.0113654144864337,-0.008995562908577873,0.0075261079897981885,0.0,0.0,0.0
2012-09-24,-0.0059334627378122,-0.0057420350534307,0.0028535674373208,-0.0005797101611623,0.0032384946185102757,-0.0009644752395284331,0.0,0.0,0.0
2012-09-25,-0.0140801632960091,-0.0015093306926783,-0.005305980204467,-0.0116653407989377,-0.006255088157935861,0.004706394396960167,0.0,0.0,0.0
2012-09-26,-0.0081776156652321,-0.0106989803999672,-0.001638289524466,-0.0100236688312729,0.002784870678928728,-0.0024573974650751737,0.0,0.0,0.0
2012-09-27,0.0136888696440619,-0.0056369542769649,-0.0056374569409379,-0.0122225399958907,-0.007210171949889042,0.005653649919802396,0.0,0.0,0.0
2012-09-28,-0.0082783131972054,0.0093773479153547,0.0147891048534109,0.024004708694151,0.001710332376812234,-0.0013837886076367787,0.0,0.0,0.0
2012-10-01,-0.0014594281633014,-0.0046429521056024,-0.0026145324715553,-0.0008788633933207,-0.0013991451952126367,0.0012774112871811244,0.0,0.0,0.0
2012-10-02,0.0029167294996134,0.0026359615706802,0.0023533866201139,0.0038028420847559,0.003416682932415002,-0.0025564564413013257,0.04820295817449173,0.007453084617858136,0.03
