theoretical_quantile_t,sample_quantile,reference_line
-1.7905265398979189,-1.5942087820509805,-1.440526920234514
-1.7870466995647962,-1.5910008963955895,-1.437733720329166
-1.7835831967825648,-1.5807900899210041,-1.4349536342569928
-1.7801358695571206,-1.5805335739727395,-1.4321865319884892
-1.7767045582599992,-1.5751677426219655,-1.429432285393003
-1.7732891055827884,-1.5712120020558615,-1.4266907682021426
-1.7698893564926288,-1.5695464022722232,-1.4239618559740579
-1.7665051581887716,-1.5685564125941003,-1.421245426058571
-1.7631363600601682,-1.565558217906457,-1.418541357563133
-1.759782813644051,-1.5586542681509656,-1.4158495313195787
-1.7564443725854946,-1.5579300676613959,-1.4131698298516664
-1.753120892597909,-1.5568768484009268,-1.4105021373433668
-1.749812231424463,-1.555359801260479,-1.4078463396078988
-1.746518248800387,-1.5489447502732703,-1.4052023240574696
-1.743238806416152,-1.5435032891819838,-1.4025699796737203
-1.7399737678814884,-1.5397267744920151,-1.3999491969788445
-1.7367229986902297,-1.5364655975584234,-1.3973398680073672
-1.7334863661859439,-1.534635690366123,-1.3947418862785605
-1.7302637395283584,-1.5322786519679128,-1.3921551467694917
-1.727054989660521,-1.5308397669893987,-1.3895795458886646
-1.7238599892767152,-1.5295971899544394,-1.3870149814502657
-1.7206786127910791,-1.5191829641681582,-1.384461352648975
-1.7175107363069244,-1.5151373662640888,-1.3819185600353396
-1.7143562375867356,-1.5124313050273168,-1.379386505491692
-1.7112149960228307,-1.509985491043144,-1.3768650922086
-1.7080868926086572,-1.50952614128386,-1.3743542246618277
-1.7049718099107278,-1.4947244142994671,-1.3718538085898064
-1.7018696320411528,-1.4929105603041484,-1.36936375097159
-1.698780244630773,-1.492683871511889,-1.3668839600052864
-1.6957035348028797,-1.4922082302504178,-1.3644143450869655
-1.6926393911474824,-1.4915347834169603,-1.3619548167900026
-1.6895877036961329,-1.4901804042971893,-1.359505286844871
-1.6865483638972958,-1.4867872813198466,-1.3570656681193722
-1.683521264592226,-1.4848416512301261,-1.3546358745992735
-1.6805062999913603,-1.4828709088006442,-1.3522158213693574
-1.6775033656512126,-1.4810746371100685,-1.3498054245948767
-1.6745123584517352,-1.4808586610321282,-1.3474046015033823
-1.6715331765741779,-1.4777935087650402,-1.3450132703669504
-1.6685657194793762,-1.4772787965491772,-1.3426313504847567
-1.6656098878865186,-1.4664756695009484,-1.340258762166032
-1.6626655837523268,-1.4631081086695723,-1.3378954267133505
-1.6597327102506727,-1.4628006349212899,-1.3355412664062691
-1.6568111717526197,-1.4576715413530772,-1.3331962044853078
-1.653900873806858,-1.4523195196652374,-1.3308601651362433
-1.651001723120535,-1.4497825224878105,-1.3285330734747245
-1.6481136275404848,-1.4486656121707921,-1.3262148555312039
-1.64523649603483,-1.4481899144550787,-1.3239054382361704
-1.6423702386749397,-1.4356583483969054,-1.3216047494056675
-1.639514766617774,-1.4349321399888242,-1.3193127177271218
-1.6366699920885452,-1.433030111472952,-1.317029272745424
-1.6338358283637548,-1.4302282766410372,-1.3147543448493153
-1.6310121897545422,-1.4245686442373824,-1.3124878652580199
-1.6281989915903714,-1.4236336131014908,-1.3102297660081512
-1.6253961502030316,-1.4234859854332764,-1.30797997994087
-1.6226035829109569,-1.4232635675328278,-1.3057384406892971
-1.619821208003836,-1.4227500053073874,-1.303505082666161
-1.6170489447275402,-1.4222484623664822,-1.3012798410516986
-1.6142867132693228,-1.4163190304732178,-1.2990626517817765
-1.6115344347433098,-1.4163049849504818,-1.2968534515362433
-1.6087920311762722,-1.4105535742221982,-1.2946521777275104
-1.6060594254936684,-1.4082383321795753,-1.2924587684893478
-1.6033365415059355,-1.4042620925049951,-1.2902731626658805
-1.6006233038950692,-1.4039608106152466,-1.288095299800817
-1.5979196382014278,-1.4027814931828015,-1.2859251201268562
-1.5952254708108038,-1.4005762992999589,-1.283762564555311
-1.5925407289417273,-1.3971519169425728,-1.2816075746659161
-1.5898653406330037,-1.3959400895975684,-1.2794600926968254
-1.5871992347314974,-1.3922633430177311,-1.2773200615348057
-1.5845423408801207,-1.3892403743415376,-1.2751874247055968
-1.5818945895060625,-1.3885701841630311,-1.2730621263644606
-1.5792559118092204,-1.3881135196336272,-1.2709441112868982
-1.5766262397508521,-1.3820349770115952,-1.2688333248595398
-1.5740055060424314,-1.3795581631714704,-1.2667297130711983
-1.571393644134702,-1.3761021489113672,-1.264633222504085
-1.5687905882069406,-1.3759825818237852,-1.2625438003251905
-1.5661962731563994,-1.3745993694406373,-1.2604613942778096
-1.5636106345879477,-1.374291511786507,-1.2583859526732282
-1.5610336088039019,-1.3721772326182746,-1.256317424382559
-1.5584651327940242,-1.3700976753357073,-1.2542557588287142
-1.5559051442257124,-1.3690263937090292,-1.2522009059785308
-1.5533535814343544,-1.3684437949026438,-1.2501528163350284
-1.5508103834138613,-1.3553338781769702,-1.2481114409298104
-1.548275489807355,-1.3538151237051725,-1.246076731315589
-1.545748840898036,-1.3528863898709707,-1.2440486395588548
-1.5432303776001925,-1.351218573193845,-1.2420271182326605
-1.5407200414503808,-1.3479158627345826,-1.240012120409541
-1.5382177745987513,-1.3443069876657894,-1.2380035996545513
-1.5357235198005235,-1.342391205159997,-1.2360015100184238
-1.5332372204076152,-1.3415178491124777,-1.2340058060308485
-1.5307588203604077,-1.3412868151041,-1.232016442693864
-1.5282882641796554,-1.3394636500342918,-1.2300333754753627
-1.525825496958538,-1.3373155219215664,-1.228056560302712
-1.5233704643548336,-1.335140289143182,-1.226085953556471
-1.5209231125832443,-1.3351366378841156,-1.224121512064231
-1.5184833884078355,-1.333328180311471,-1.2221631930945467
-1.5160512391346097,-1.3310631330337204,-1.2202109543509747
-1.513626612604202,-1.3288878080207054,-1.218264753966211
